Model,Min,Max,Median,Mean,10th percentile,90th percentile,Max density
4-0,0.0,0.9292929292929293,0.5944444444444444,0.5012877662819968,0.0,0.8130718954248366,0.6312625250501002
1-0,0.0,0.8935128518971848,0.5882352941176471,0.5131393858283169,0.0,0.7889648141393812,0.6452905811623246
1-1,0.0,0.9364548494983278,0.5411140583554377,0.47236875993636357,0.0,0.7873631603998097,0.6092184368737474
1-2,0.0,0.8897058823529411,0.5863013698630137,0.503773695650539,0.0,0.7829333333333334,0.6212424849699398
1-4,0.0,0.9354838709677419,0.5734870317002881,0.505739305987206,0.0,0.8183249821045097,0.5871743486973947
1-8,0.0,0.9157509157509157,0.5824175824175825,0.48724360756749324,0.0,0.8002094240837697,0.6352705410821643
1-16,0.0,0.9187279151943463,0.6071428571428571,0.50470674170346,0.0,0.8025668449197861,0.6472945891783567
1-32,0.0,0.8958333333333334,0.5659340659340659,0.4317756685145988,0.0,0.7771683389074694,0.6693386773547093
1-64,0.0,0.9130434782608695,0.6197916666666666,0.5121880302190455,0.0,0.8168221313570151,0.6813627254509017
1-128,0.0,0.9130434782608695,0.5648854961832062,0.45102501395501415,0.0,0.794124081887795,0.6533066132264529
1-256,0.0,0.9084507042253521,0.5456919060052219,0.4585681301061713,0.0,0.7700512820512821,0.6152304609218436
